2026-05-14 11:14:28 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified
2026-05-14 11:14:28 | INFO | 1 | MacroEnergy | user_additions.jl:78 |  ++ Loading user additions from electricity_fiveZ_8736_1p_modified\user_additions
2026-05-14 11:14:28 | INFO | 1 | MacroEnergy | user_additions.jl:122 |  ++ Added user assets: 0
2026-05-14 11:14:28 | INFO | 1 | MacroEnergy | load_stages_data.jl:36 | Loading case from C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\system_data.json
2026-05-14 11:14:28 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 0.83 seconds
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | load_stages_data.jl:19 | Done loading case data. It took 0.83 seconds
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case_settings.jl:110 | Configuring case from settings/case_settings.json
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case_settings.jl:128 | Configuring case
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case_settings.jl:152 |  -- Setting solution algorithm
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case_settings.jl:163 |  -- Solution algorithm set to MacroEnergy.Myopic()
2026-05-14 11:14:29 | WARN | 1 | MacroEnergy | case_settings.jl:182 | No myopic settings specified, using default settings
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case_settings.jl:183 | Configuring myopic
2026-05-14 11:14:29 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-05-14 11:14:30 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-05-14 11:14:31 | INFO | 1 | MacroEnergy | load_commodities.jl:299 |  ++ Added user commodities: 0 top-level, 0 subcommodities
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:14:32 | WARN | 1 | MacroEnergy | load_time_data.jl:198 | Using default weights = 1 as no period map provided and each period maps to itself
2026-05-14 11:15:02 | INFO | 1 | MacroEnergy | generate_system.jl:43 | Done generating system. It took 32.08 seconds
2026-05-14 11:15:02 | INFO | 1 | MacroEnergy | case.jl:54 |  -- Discounting fixed costs for period 1
2026-05-14 11:15:03 | INFO | 1 | MacroEnergy | case.jl:57 |  -- Computing retirement case for period 1
2026-05-14 11:15:03 | INFO | 1 | MacroEnergy | case.jl:45 | *** Done generating case. It took 33.54 seconds ***
2026-05-14 11:15:03 | INFO | 1 | MacroEnergy | solver.jl:26 | *** Running simulation with myopic iteration ***
2026-05-14 11:15:03 | INFO | 1 | MacroEnergy | myopic.jl:56 |  -- Generating model for period 1
2026-05-14 11:15:04 | INFO | 1 | MacroEnergy | myopic.jl:73 |  -- Adding linking variables
2026-05-14 11:15:04 | INFO | 1 | MacroEnergy | myopic.jl:76 |  -- Defining available capacity
2026-05-14 11:15:05 | INFO | 1 | MacroEnergy | myopic.jl:79 |  -- Generating planning model
2026-05-14 11:15:07 | INFO | 1 | MacroEnergy | myopic.jl:87 |  -- Including age-based retirements
2026-05-14 11:15:07 | INFO | 1 | MacroEnergy | myopic.jl:90 |  -- Generating operational model
2026-05-14 11:15:20 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:20 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:20 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:20 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:21 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:24 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:24 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:24 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:24 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:25 | WARN | 1 | MacroEnergy | long_duration_storage_implicit_min_max.jl:82 | LongDurationStorageImplicitMinMaxConstraint is redundant when all modeled subperiods are representative subperiods so Macro will not create this constraint
2026-05-14 11:15:27 | INFO | 1 | MacroEnergy | scaling.jl:67 | Scaling constraints and RHS
2026-05-14 11:16:22 | INFO | 1 | MacroEnergy | myopic.jl:123 |  -- Writing outputs for period 1
2026-05-14 11:16:24 | INFO | 1 | MacroEnergy | write_capacity.jl:68 | Writing capacity results to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results_014\results\capacity.csv
2026-05-14 11:16:32 | INFO | 1 | MacroEnergy | write_cost.jl:36 | Writing total discounted costs to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results_014\results\costs.csv
2026-05-14 11:16:32 | INFO | 1 | MacroEnergy | write_cost.jl:79 | Writing total undiscounted costs to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results_014\results\undiscounted_costs.csv
2026-05-14 11:16:35 | INFO | 1 | MacroEnergy | write_cost.jl:565 | Writing detailed discounted costs by type to C:\Users\shash\MacroEnergy.jl\electricity_fiveZ_8736_1p_modified\results_014\results\costs_by_type.csv
